net,length_um
_0011_,16.88µm
br1.data_reg\[12\],16.79µm
_0453_,16.46µm
_0561_,16.46µm
_0446_,16.44µm
br1.data_rx\[1\],16.44µm
_0448_,16.3µm
_0535_,16.12µm
net75,16.12µm
net19,16.06µm
mem1.trellis_diagr\[6\]\[0\],16.02µm
_0349_,15.9µm
net66,15.72µm
mem1.trellis_diagr\[27\]\[0\],15.625µm
mem1.trellis_diagr\[21\]\[0\],15.555µm
_0371_,15.5µm
br1.data_reg\[0\],15.34µm
_0252_,15.32µm
br1.data_rx\[0\],15.2µm
_0181_,15.12µm
br1.data_reg\[8\],15.1µm
_0329_,14.88µm
mem1.trellis_diagr\[9\]\[0\],14.74µm
mem1.trellis_diagr\[11\]\[0\],14.725µm
mem1.trellis_diagr\[30\]\[0\],14.72µm
_0209_,14.64µm
mem1.trellis_diagr\[1\]\[0\],14.64µm
mem1.trellis_diagr\[27\]\[1\],14.64µm
_0155_,14.6µm
_0470_,14.6µm
tbck1.sel_bit_out\[0\],14.6µm
mem1.trellis_diagr\[16\]\[1\],14.52µm
net21,14.42µm
mem1.trellis_diagr\[29\]\[0\],14.38µm
_0026_,14.26µm
_0509_,14.24µm
net165,14.18µm
_0318_,14.14µm
_0459_,14.14µm
_0301_,14.04µm
_0343_,14.04µm
_0516_,13.98µm
mem1.trellis_diagr\[14\]\[0\],13.94µm
mem1.trellis_diagr\[28\]\[1\],13.94µm
mem1.trellis_diagr\[5\]\[1\],13.92µm
_0352_,13.84µm
bck_prv_st_10\[0\],13.82µm
_0014_,13.7µm
bck_prv_st_00\[0\],13.64µm
mem1.trellis_diagr\[25\]\[1\],13.64µm
mem1.trellis_diagr\[30\]\[1\],13.64µm
_0515_,13.6µm
_0412_,13.58µm
net104,13.58µm
_0432_,13.415µm
_0512_,13.4µm
_0476_,13.38µm
mem1.trellis_diagr\[0\]\[1\],13.28µm
mem1.trellis_diagr\[17\]\[0\],13.26µm
_0262_,13.2µm
mem1.trellis_diagr\[12\]\[1\],13.2µm
_0272_,13.16µm
_0240_,13.14µm
_0507_,13.08µm
data_out[4],13.08µm
_0328_,13.06µm
_0393_,13µm
mem1.trellis_diagr\[13\]\[1\],12.98µm
_0410_,12.96µm
_0447_,12.92µm
tbck1.count\[1\],12.92µm
_0355_,12.9µm
_0489_,12.82µm
bck_prv_st_01\[0\],12.8µm
_0566_,12.76µm
tbck1.sel_bit_out\[1\],12.7µm
_0230_,12.62µm
_0541_,12.62µm
_0567_,12.62µm
_0568_,12.62µm
br1.data_reg\[10\],12.62µm
mem1.trellis_diagr\[18\]\[1\],12.62µm
mem1.trellis_diagr\[20\]\[0\],12.58µm
_0152_,12.56µm
_0334_,12.54µm
_0483_,12.49µm
_0124_,12.44µm
_0324_,12.34µm
_0177_,12.28µm
_0576_,12.26µm
net27,12.26µm
_0479_,12.24µm
net8,12.24µm
_0000_,12.18µm
net4,12.14µm
_0356_,12.12µm
br1.data_reg\[15\],12.12µm
br1.data_reg\[7\],12.12µm
_0036_,11.99µm
_0292_,11.96µm
_0546_,11.88µm
net163,11.88µm
_0197_,11.865µm
_0206_,11.86µm
mem1.trace\[1\],11.85µm
_0426_,11.84µm
net107,11.78µm
_0246_,11.76µm
_0559_,11.72µm
bck_prv_st_11\[1\],11.72µm
_0577_,11.7µm
data_out[2],11.7µm
_0564_,11.66µm
_0589_,11.66µm
mem1.trellis_diagr\[24\]\[1\],11.64µm
br1.data_reg\[11\],11.6µm
net154,11.6µm
_0570_,11.58µm
_0342_,11.54µm
mem1.trellis_diagr\[9\]\[1\],11.52µm
net117,11.52µm
_0322_,11.5µm
_0392_,11.42µm
add1.sum_11\[0\],11.42µm
tbck1.select_node\[3\],11.42µm
mem1.trellis_diagr\[31\]\[1\],11.385µm
_0017_,11.38µm
mem1.trellis_diagr\[22\]\[0\],11.38µm
_0191_,11.36µm
net73,11.36µm
net24,11.34µm
_0440_,11.32µm
net70,11.32µm
mem1.trellis_diagr\[10\]\[0\],11.26µm
net89,11.24µm
_0381_,11.18µm
_0449_,11.18µm
bck_prv_st_00\[1\],11.18µm
_0261_,11.16µm
_0580_,11.16µm
_0145_,11.13µm
_0195_,11.1µm
_0025_,11.08µm
_0323_,11.08µm
mem1.trellis_diagr\[23\]\[0\],10.995µm
mem1.trellis_diagr\[31\]\[0\],10.96µm
_0319_,10.92µm
tbck1.sel_bit_out\[7\],10.92µm
_0178_,10.9µm
net142,10.9µm
en,10.88µm
_0582_,10.86µm
mem1.trellis_diagr\[8\]\[1\],10.84µm
_0441_,10.8µm
_0477_,10.8µm
_0389_,10.675µm
_0180_,10.565µm
_0461_,10.4µm
